"Year","Fatal","GreviouslyInjured","MinorInjured","Non - Injured","Total Accidents"
2005,83491,102723,190235,62806,439255
2006,93917,105477,198151,63375,460920
2007,101161,110074,203148,64833,479216
2008,106591,113376,200023,64714,484704
2009,110993,111892,201693,61806,486384
2010,119558,115845,201692,62533,499628
2011,121618,114201,197757,64110,497686
2012,123093,116857,190437,59996,490383
2013,122589,116089,189982,57816,486476
2014,125828,115454,192310,55808,489400
2015,131726,119668,192634,57395,501423
2016,136071,120848,187642,36091,480652
