state,Total Accidents 2016
Tamil Nadu,66858
Madhya Pradesh,42831
Karnataka,39336
Kerala,38262
Maharashtra,32797
Uttar Pradesh,28283
Andhra Pradesh,22644
Rajasthan,21808
Gujarat,17110
Telangana,15916
Odisha,9716
West Bengal,9230
Chhattisgarh,9016
Haryana,7874
Assam,5673
Delhi,5398
Bihar,4845
Punjab,4820
Goa,4236
Jammu & Kashmir,3142
Himachal Pradesh,2274
Puducherry,1742
Jharkhand,1666
Uttarakhand,1083
Tripura,517
Chandigarh,428
Manipur,309
Andaman and Nicobar,238
Meghalaya,181
Arunachal Pradesh,112
Sikkim,94
Ladakh,68
Mizoram,67
Nagaland,24
Dadra and Nagar Haveli and Daman and Diu,24
Lakshadweep,0
